"nowotwor" "gen" "pvalue" "n_cancer"
"1522" "LUSC" "COL19A1" 0.011033 4
"1523" "OV" "COL19A1" 0 4
"1526" "UCEC" "COL19A1" 0.038297 4
"1538" "STES" "COL1A2" 0.001657 2
"1540" "UCEC" "COL1A2" 0.044367 2
"1552" "STES" "COL24A1" 0.030881 1
"1563" "LUAD" "COL3A1" 0.033769 1
"1573" "HNSC" "COL4A6" 0.008444 2
"1582" "UCEC" "COL4A6" 0.017788 2
"1584" "COADREAD" "COL6A3" 0 2
"1590" "LGG" "COL6A3" 0.001156 2
"1598" "COADREAD" "COL6A5" 0.006761 4
"1605" "LUAD" "COL6A5" 0 4
"1607" "OV" "COL6A5" 0 4
"1610" "UCEC" "COL6A5" 0.044606 4
"1612" "COADREAD" "COL6A6" 3.4e-05 6
"1614" "GBMLGG" "COL6A6" 0.002943 6
"1616" "KIPAN" "COL6A6" 0.009857 6
"1617" "KIRC" "COL6A6" 0.042464 6
"1621" "OV" "COL6A6" 0 6
"1624" "UCEC" "COL6A6" 0.029771 6
"1633" "LUAD" "CPS1" 0 3
"1635" "OV" "CPS1" 0 3
"1638" "UCEC" "CPS1" 0.042717 3
"1649" "OV" "CR1" 0 2
"1652" "UCEC" "CR1" 0.032063 2
"1654" "COADREAD" "CRB1" 0.000304 3
"1661" "LUAD" "CRB1" 0.00018 3
"1666" "UCEC" "CRB1" 0.017999 3
"1671" "HNSC" "CREBBP" 0.045286 2
"1678" "STES" "CREBBP" 0.039098 2
"1682" "COADREAD" "CSMD1" 0 4
"1690" "LUSC" "CSMD1" 0.029286 4
"1693" "THCA" "CSMD1" 0.000142 4
"1694" "UCEC" "CSMD1" 0.000842 4
"1696" "COADREAD" "CSMD2" 0.001297 2
"1708" "UCEC" "CSMD2" 0.007445 2
"1718" "LUSC" "CSMD3" 0.038819 2
"1722" "UCEC" "CSMD3" 0.001932 2
"1727" "HNSC" "CTNND2" 0.025866 1
"1738" "COADREAD" "CUBN" 0.042737 3
"1747" "OV" "CUBN" 0.016696 3
"1750" "UCEC" "CUBN" 0.009643 3
"1761" "OV" "CUL7" 0 2
"1764" "UCEC" "CUL7" 0.034909 2
"1778" "UCEC" "CUL9" 0.009344 1
"1783" "HNSC" "CUX1" 0.00194 3
"1789" "OV" "CUX1" 0 3
"1792" "UCEC" "CUX1" 0.02755 3
"1803" "OV" "CXorf57" 0 2
"1806" "UCEC" "CXorf57" 0.024991 2
"1809" "GBM" "CYLC1" 0.017955 4
"1815" "LUAD" "CYLC1" 0 4
"1817" "OV" "CYLC1" 0 4
"1820" "UCEC" "CYLC1" 0.049524 4
"1834" "UCEC" "DCHS1" 0.011617 1
"1836" "COADREAD" "DCHS2" 0.0019 4
"1838" "GBMLGG" "DCHS2" 0.020422 4
"1840" "KIPAN" "DCHS2" 0.038955 4
"1848" "UCEC" "DCHS2" 0.001455 4
"1850" "COADREAD" "DENND4C" 0.003417 2
"1862" "UCEC" "DENND4C" 0.016459 2
"1864" "COADREAD" "DEPDC5" 0.012752 7
