"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"61" "ZNF208" "0.01" "0.019" "0.01" "0.019" "0.068" "0.015" "0.01" "0.035" "0.006" "0.049" "0.048" "0.004" "0.058" "0"
"62" "ANKRD30A" "0.007" "0.01" "0.005" "0.014" "0.061" "0.005" "0.014" "0.049" "0.007" "0.028" "0.056" "0.01" "0.056" "0.004"
"63" "C15orf2" "0.008" "0" "0" "0.032" "0.045" "0.015" "0.008" "0.042" "0" "0.044" "0.077" "0" "0.036" "0.002"
"64" "STK11" "0" "0.002" "0.004" "0.002" "0.016" "0" "0" "0.004" "0.004" "0.002" "0.077" "0" "0.008" "0"
"65" "MYH2" "0.016" "0.013" "0.01" "0.014" "0.07" "0.018" "0.01" "0.036" "0.013" "0.028" "0.071" "0.014" "0.06" "0.004"
"66" "SI" "0.008" "0.017" "0.01" "0.017" "0.076" "0.008" "0.017" "0.049" "0.011" "0.068" "0.082" "0.008" "0.071" "0.002"
"67" "ANK2" "0.009" "0.029" "0.018" "0.056" "0.105" "0.013" "0.012" "0.042" "0.017" "0.049" "0.08" "0.004" "0.069" "0.006"
"68" "LRFN5" "0.009" "0.005" "0.009" "0.017" "0.051" "0.012" "0.008" "0.026" "0.007" "0.025" "0.05" "0.006" "0.052" "0"
"69" "CDH18" "0.011" "0.001" "0.007" "0.027" "0.054" "0.018" "0.008" "0.027" "0.011" "0.013" "0.048" "0.002" "0.06" "0"
"70" "MUC4" "0.015" "0.066" "0.164" "0.011" "0.11" "0.024" "0.008" "0.068" "0.158" "0.032" "0.031" "0.006" "0.042" "0"
"71" "ZFHX4" "0.007" "0.035" "0.014" "0.054" "0.129" "0.008" "0.019" "0.078" "0.015" "0.061" "0.136" "0.006" "0.155" "0.002"
"72" "ZNF676" "0.005" "0.007" "0.009" "0.008" "0.046" "0.008" "0" "0.018" "0.002" "0.027" "0.036" "0.002" "0.046" "0"
"73" "MYH8" "0.014" "0.016" "0.003" "0.024" "0.045" "0.013" "0.008" "0.04" "0" "0.038" "0.052" "0.016" "0.044" "0.004"
"74" "PCLO" "0.037" "0.031" "0.03" "0.035" "0.177" "0.055" "0.012" "0.064" "0.03" "0.093" "0.105" "0.016" "0.067" "0.002"
"75" "CDH12" "0.005" "0.01" "0.006" "0.025" "0.067" "0.002" "0.003" "0.033" "0.007" "0.013" "0.056" "0.008" "0.06" "0.006"
"76" "DNAH7" "0.011" "0.023" "0.012" "0.027" "0.115" "0.013" "0.008" "0.057" "0.019" "0.051" "0.061" "0.008" "0.071" "0.002"
"77" "RYR3" "0.022" "0.047" "0.021" "0.043" "0.135" "0.034" "0.012" "0.075" "0.024" "0.045" "0.088" "0.008" "0.099" "0.002"
"78" "CDH9" "0.011" "0.012" "0.003" "0.027" "0.053" "0.017" "0.008" "0.027" "0" "0.036" "0.071" "0.004" "0.048" "0.002"
"79" "MYCBP2" "0.003" "0.018" "0.012" "0.024" "0.094" "0.002" "0.01" "0.055" "0.013" "0.03" "0.036" "0.004" "0.054" "0.006"
"80" "COL6A6" "0.005" "0.015" "0.019" "0.03" "0.062" "0.008" "0.014" "0.036" "0.026" "0.044" "0.036" "0" "0.048" "0.004"
"81" "RYR1" "0.015" "0.036" "0.027" "0.051" "0.124" "0.018" "0.02" "0.077" "0.024" "0.042" "0.086" "0.012" "0.06" "0.012"
"82" "RANBP2" "0.003" "0.011" "0.018" "0.019" "0.067" "0.002" "0" "0.04" "0.015" "0.013" "0.029" "0.004" "0.03" "0.004"
"83" "ODZ1" "0.005" "0.027" "0.007" "0.041" "0.062" "0.008" "0.017" "0.06" "0.013" "0.034" "0.056" "0" "0.056" "0.004"
"84" "BZRAP1" "0.005" "0.008" "0.006" "0.016" "0.094" "0.003" "0.002" "0.029" "0.007" "0.008" "0.019" "0.006" "0.01" "0"
"85" "TSHZ2" "0.013" "0.01" "0.004" "0.025" "0.053" "0.018" "0.007" "0.026" "0.006" "0.006" "0.046" "0.006" "0.022" "0.002"
"86" "ATM" "0.004" "0.022" "0.017" "0.04" "0.091" "0.007" "0.007" "0.057" "0.022" "0.021" "0.044" "0" "0.016" "0.01"
"87" "DNAH8" "0.02" "0.019" "0.02" "0.037" "0.108" "0.027" "0.01" "0.051" "0.017" "0.057" "0.059" "0.012" "0.063" "0.01"
"88" "LYST" "0.009" "0.024" "0.017" "0.029" "0.072" "0.015" "0.01" "0.049" "0.024" "0.025" "0.038" "0.002" "0.03" "0.004"
"89" "MLL3" "0.013" "0.065" "0.047" "0.027" "0.089" "0.024" "0.015" "0.058" "0.034" "0.045" "0.092" "0" "0.067" "0.008"
"90" "CASC3" "0.001" "0.003" "0.001" "0.005" "0.019" "0" "0.002" "0.016" "0" "0.002" "0.008" "0.002" "0" "0.004"
"91" "ATRNL1" "0.003" "0.005" "0.007" "0.016" "0.057" "0.005" "0.01" "0.035" "0.009" "0.032" "0.05" "0" "0.026" "0"
"92" "PCDH10" "0.003" "0.017" "0.007" "0.04" "0.11" "0.003" "0.002" "0.029" "0.011" "0.036" "0.063" "0.002" "0.046" "0"
"93" "MUC17" "0.036" "0.036" "0.026" "0.03" "0.11" "0.05" "0.032" "0.06" "0.02" "0.074" "0.119" "0.019" "0.083" "0.016"
"94" "VWF" "0.009" "0.015" "0.014" "0.03" "0.076" "0.015" "0.012" "0.038" "0.015" "0.013" "0.033" "0.002" "0.036" "0.004"
"95" "B2M" "0.001" "0.003" "0.001" "0.008" "0.032" "0.002" "0.003" "0.005" "0" "0.008" "0.002" "0" "0.006" "0"
"96" "HIVEP1" "0.005" "0.013" "0.007" "0.011" "0.059" "0.007" "0.007" "0.049" "0.009" "0.013" "0.023" "0.002" "0.03" "0.002"
"97" "LAMA3" "0.01" "0.016" "0.013" "0.025" "0.053" "0.008" "0.015" "0.047" "0.011" "0.017" "0.029" "0.012" "0.028" "0.004"
"98" "VPS13A" "0.003" "0.016" "0.01" "0.025" "0.061" "0.003" "0.003" "0.042" "0.011" "0.023" "0.015" "0.002" "0.034" "0.002"
"99" "PTPRM" "0.005" "0.01" "0.011" "0.037" "0.064" "0.005" "0.002" "0.033" "0.007" "0.025" "0.01" "0.004" "0.016" "0"
"100" "FAT4" "0.009" "0.023" "0.019" "0.075" "0.18" "0.008" "0.01" "0.086" "0.017" "0.057" "0.086" "0.01" "0.065" "0"
"101" "ODZ3" "0.008" "0.014" "0.004" "0.029" "0.062" "0.015" "0.002" "0.049" "0.007" "0.009" "0.033" "0" "0.044" "0"
"102" "FHOD3" "0.003" "0.013" "0.003" "0.025" "0.068" "0.002" "0.005" "0.033" "0.004" "0.011" "0.025" "0.004" "0.008" "0.002"
"103" "SLC32A1" "0.002" "0.003" "0.006" "0.016" "0.043" "0.003" "0" "0.013" "0.002" "0.008" "0.019" "0" "0.008" "0"
"104" "UTRN" "0.007" "0.025" "0.009" "0.032" "0.075" "0.007" "0.007" "0.053" "0.011" "0.027" "0.033" "0.008" "0.032" "0.002"
"105" "KRAS" "0.003" "0.005" "0.003" "0.154" "0.049" "0.003" "0.003" "0.099" "0.002" "0.002" "0.144" "0.002" "0.004" "0.008"
"106" "NRG1" "0.004" "0.005" "0.006" "0.022" "0.054" "0.003" "0.007" "0.035" "0.007" "0.002" "0.017" "0.004" "0.014" "0.002"
"107" "TAOK2" "0.001" "0.007" "0.003" "0.008" "0.045" "0.002" "0" "0.022" "0.004" "0.015" "0.013" "0" "0.01" "0"
"108" "MT.ND5" "0" "0.001" "0" "0" "0.043" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"109" "ARID1A" "0.014" "0.027" "0.021" "0.038" "0.169" "0.007" "0.005" "0.155" "0.02" "0.027" "0.031" "0.023" "0.028" "0"
"110" "PRDM2" "0.001" "0.009" "0.011" "0.029" "0.045" "0" "0.003" "0.033" "0.007" "0.009" "0.015" "0.002" "0.016" "0.004"
"111" "KIF26B" "0.003" "0.017" "0.003" "0.014" "0.068" "0.002" "0.008" "0.044" "0.004" "0.017" "0.015" "0.004" "0.006" "0"
"112" "WDFY3" "0.008" "0.02" "0.018" "0.035" "0.078" "0.007" "0.005" "0.049" "0.02" "0.019" "0.046" "0.01" "0.026" "0.004"
"113" "POGZ" "0" "0.007" "0.009" "0.014" "0.049" "0" "0.005" "0.031" "0.006" "0.004" "0.006" "0" "0.002" "0.002"
"114" "FAM135B" "0.005" "0.01" "0.01" "0.03" "0.078" "0.005" "0.015" "0.051" "0.007" "0.064" "0.073" "0.004" "0.091" "0.004"
"115" "MLL" "0.004" "0.02" "0.009" "0.025" "0.061" "0.007" "0.008" "0.036" "0.013" "0.027" "0.019" "0" "0.02" "0.014"
"116" "TRANK1" "0.005" "0.013" "0.007" "0.014" "0.054" "0.003" "0.002" "0.036" "0.007" "0.021" "0.023" "0.006" "0.02" "0.004"
"117" "PTPRT" "0.006" "0.012" "0.01" "0.033" "0.088" "0.012" "0.014" "0.035" "0.009" "0.036" "0.048" "0" "0.048" "0.004"
"118" "PAPPA" "0.005" "0.015" "0.005" "0.032" "0.062" "0.005" "0.007" "0.036" "0.002" "0.021" "0.029" "0.006" "0.02" "0"
"119" "NSD1" "0.001" "0.014" "0.015" "0.017" "0.051" "0.002" "0.003" "0.051" "0.011" "0.055" "0.011" "0" "0.022" "0.006"
"120" "RBM6" "0.002" "0.008" "0.004" "0.008" "0.041" "0.002" "0.005" "0.024" "0.004" "0.009" "0.011" "0.002" "0.006" "0.004"
"121" "USH2A" "0.027" "0.048" "0.032" "0.059" "0.145" "0.042" "0.039" "0.075" "0.037" "0.081" "0.151" "0.01" "0.141" "0.006"
"122" "ZNF43" "0" "0.006" "0.004" "0.016" "0.067" "0" "0.002" "0.026" "0.006" "0.013" "0.015" "0" "0.01" "0"
"123" "COL12A1" "0.005" "0.019" "0.01" "0.04" "0.111" "0.008" "0.01" "0.035" "0.006" "0.015" "0.038" "0.002" "0.048" "0.004"
"124" "COL24A1" "0.006" "0.009" "0.007" "0.014" "0.045" "0.01" "0.005" "0.031" "0.013" "0.027" "0.023" "0.002" "0.036" "0.002"
"125" "KCNQ3" "0.001" "0.01" "0.003" "0.027" "0.046" "0" "0.003" "0.035" "0.004" "0.017" "0.01" "0.002" "0.022" "0"
"126" "MBD6" "0.002" "0.007" "0.006" "0.013" "0.041" "0.002" "0.002" "0.029" "0.006" "0.013" "0.002" "0.002" "0.004" "0.004"
